Row,Listing Name,Location,Revenue (Year),Earnings Type,Earnings,Employees,Asking Price,Seller Intent,Description
1,Oxidizing Cleaning Solution Company,"Charlotte Metro, NC","$700,000 (2024)",EBITDA,$100,000,9,Not listed,Curious about sale,Transforms tap water into O3 natural oxidizing cleaning solution
2,Leather Firearm Accessories Retailer,"Miami Metro, FL","$8,300,000 (2024)",EBITDA,$800,000,16,Not listed,Curious,Leading creator and producer of high-quality leather holsters and everyday carry gear
3,Hair and Beauty Care Retailer,"Washington Metro, VA","$657,737 (2024)",SDE,$156,299,1,$385,000,Serious about sale,Black family-owned beauty brand specializing in premium all-natural haircare for textured hair
4,Broadcast Equipment Supplier,"Miami Metro, FL","$1,900,000 (2023)",EBITDA,-$31,000,4,Not listed,Curious,International supplier of broadcast equipment and radio station turnkey solutions
5,Indiana Limestone Company,"Indianapolis Metro, IN","$17,000,000 (2024)",EBITDA,$3,000,000,100,Not listed,Exploring options,Custom fabrication of Indiana limestone for interior and exterior applications
6,Bar & Restaurant,"Los Angeles Metro, CA","$520,000 (2023)",EBITDA,$101,378,7,$469,000,Curious,Restaurant with bar in historic downtown California also operates as filming location
7,Enterprise Risk Management Software,"Las Vegas Metro, NV","$525,000 (2025 projected)",SDE,$87,700,13,Not listed,Exploring,Develops comprehensive risk management solutions designed to optimize risk mitigation
8,Hauling / Junk Removal Company,"Pittsburgh Metro, PA","$208,107 (2025)",SDE,$136,857,2,$200,000,Serious,Provides residential and commercial junk removal demolition and moving services
9,Home Inspection & Pest Control Services,"75 miles from Chicago, IN","$4,647,616 (2025)",SDE,$1,365,611,40,$7,800,000,Exploring,Offers pest control home inspections radon and mold testing/remediation
10,Restoration Company,"Chicago Metro, IL","$3,250,000 (2024)",EBITDA,$500,000,30,Not listed,Curious,Masonry and concrete construction specializing in restoration and facade inspection
